LocationID,CompanyCode,BranchCode,CompanyName,BranchName
5-0046,5,0046,METRO MANILA SHOPPING MECCA CORP.,SM MANILA
5-0149,5,0149,METRO MANILA SHOPPING MECCA CORP.,SM DELGADO
5-0241,5,0241,METRO MANILA SHOPPING MECCA CORP.,SM STA ROSA
5-1296,5,1296,METRO MANILA SHOPPING MECCA CORP.,SM CABANATUAN
5-1425,5,1425,METRO MANILA SHOPPING MECCA CORP.,SM MEGA CENTER
8-0050,8,0050,"MANDURRIAO STAR, INC.",SM MANDURRIAO
8-0065,8,0065,"MANDURRIAO STAR, INC.",SM BICUTAN
8-0228,8,0228,"MANDURRIAO STAR, INC.",SM SAN LAZARO
8-0277,8,0277,"MANDURRIAO STAR, INC.",SM MARIKINA
8-0351,8,0351,"MANDURRIAO STAR, INC.",SM SAN FERNANDO
49-0094,49,0094,"MADISON SHOPPING PLAZA, INC.",SM PAMPANGA
49-0120,49,0120,"MADISON SHOPPING PLAZA, INC.",SM CAGAYAN DE ORO
49-0148,49,0148,"MADISON SHOPPING PLAZA, INC.",SM BATANGAS
49-0276,49,0276,"MADISON SHOPPING PLAZA, INC.",SM TAYTAY
49-1896,49,1896,"MADISON SHOPPING PLAZA, INC.",SM SAN JOSE DEL MONTE
74-0014,74,0014,"MAINSTREAM BUSINESS, INC.",SM BACOOR
74-0138,74,0138,"MAINSTREAM BUSINESS, INC.",SM BAGUIO
74-0142,74,0142,"MAINSTREAM BUSINESS, INC.",SM BACOLOD
74-0440,74,0440,"MAINSTREAM BUSINESS, INC.",SM SAN PABLO
74-0452,74,0452,"MAINSTREAM BUSINESS, INC.",SM NAGA
76-0015,76,0015,"MARKET STRATEGIC FIRM, INC.",SM FAIRVIEW
76-0130,76,0130,"MARKET STRATEGIC FIRM, INC.",SM LUCENA
76-0156,76,0156,"MARKET STRATEGIC FIRM, INC.",SM SUCAT
76-0275,76,0275,"MARKET STRATEGIC FIRM, INC.",SM CALAMBA
76-1267,76,1267,"MARKET STRATEGIC FIRM, INC.",SM CAUAYAN ISABELA
80-0005,80,0005,"MERCANTILE STORES GROUP, INC.",SM STA MESA
80-0145,80,0145,"MERCANTILE STORES GROUP, INC.",SM DASMARINAS
80-0238,80,0238,"MERCANTILE STORES GROUP, INC.",SM CLARK
80-0445,80,0445,"MERCANTILE STORES GROUP, INC.",SM BALIWAG
80-0855,80,0855,"MERCANTILE STORES GROUP, INC.",SM MASINAG
82-0009,82,0009,MAJOR SHOPPING MANAGEMENT CORP.,SM ORTIGAS
84-0032,84,0032,MULTI STORES CORP.,SM CEBU
85-0095,85,0095,MINDANAO SHOPPING DESTINATION CORP.,SM DAVAO
94-0073,94,0073,"MANILA SOUTHERN ASSOCIATES, INC",SM LAS PINAS
94-0134,94,0134,"MANILA SOUTHERN ASSOCIATES, INC",SM MARILAO
94-0274,94,0274,"MANILA SOUTHERN ASSOCIATES, INC",SM TARLAC
94-0432,94,0432,"MANILA SOUTHERN ASSOCIATES, INC",SM ROSARIO
94-1268,94,1268,"MANILA SOUTHERN ASSOCIATES, INC",SM SAN MATEO
101-0001,101,0001,SM MART INC.,SM CUBAO
101-0002,101,0002,SM MART INC.,SM QUIAPO
101-0003,101,0003,SM MART INC.,SM MAKATI
101-0004,101,0004,SM MART INC.,SM HARRISON
101-0006,101,0006,SM MART INC.,SM NORTH EDSA
101-1800,101,1800,SM MART INC.,SM CUBAO E-STORE
184-2551,184,2551,MAYON SHOPPERS LIFESTYLE CORPORATION,SM VALENZUELA
184-2552,184,2552,MAYON SHOPPERS LIFESTYLE CORPORATION,SM LEGAZPI
184-2592,184,2592,MAYON SHOPPERS LIFESTYLE CORPORATION,SM BUTUAN
184-3068,184,3068,MAYON SHOPPERS LIFESTYLE CORPORATION,SM DAET
228-0245,228,0245,METRO MAIN STAR ASIA CORP,SM BAY CITY
228-0448,228,0448,METRO MAIN STAR ASIA CORP,SM NOVALICHES
228-1204,228,1204,METRO MAIN STAR ASIA CORP,SM BF PARA¿AQUE
228-1875,228,1875,METRO MAIN STAR ASIA CORP,SM EAST ORTIGAS
228-1888,228,1888,METRO MAIN STAR ASIA CORP,SM TRECE MARTIRES
229-0309,229,0309,GUAM,GUAM
230-0270,230,0270,MERIDIEN BUSINESS LEADER INC.,SM LIPA
230-0353,230,0353,MERIDIEN BUSINESS LEADER INC.,SM OLONGAPO
230-0457,230,0457,MERIDIEN BUSINESS LEADER INC.,SM ROSALES
230-1132,230,1132,MERIDIEN BUSINESS LEADER INC.,SM AURA
230-1887,230,1887,MERIDIEN BUSINESS LEADER INC.,SM MOLINO
244-0025,244,0025,SHOEMART INC (FORMERLY LTBG MGMT CORP),FM ALABANG
244-0103,244,0103,SHOEMART INC (FORMERLY LTBG MGMT CORP),HEAD OFFICE
244-1205,244,1205,SHOEMART INC (FORMERLY LTBG MGMT CORP),WM MAKATI
244-1206,244,1206,SHOEMART INC (FORMERLY LTBG MGMT CORP),WM NORTH EDSA
244-1207,244,1207,SHOEMART INC (FORMERLY LTBG MGMT CORP),WM TANAUAN
244-1208,244,1208,SHOEMART INC (FORMERLY LTBG MGMT CORP),WM SAN FERNANDO
244-1209,244,1209,SHOEMART INC (FORMERLY LTBG MGMT CORP),WM STA. MARIA
244-1212,244,1212,SHOEMART INC (FORMERLY LTBG MGMT CORP),WM GAPAN
244-1215,244,1215,SHOEMART INC (FORMERLY LTBG MGMT CORP),WM GUIGUINTO
244-1228,244,1228,SHOEMART INC (FORMERLY LTBG MGMT CORP),SVM LA TRINIDAD
244-1327,244,1327,SHOEMART INC (FORMERLY LTBG MGMT CORP),SMC TACLOBAN
244-1387,244,1387,SHOEMART INC (FORMERLY LTBG MGMT CORP),SMC ANGONO
244-1481,244,1481,SHOEMART INC (FORMERLY LTBG MGMT CORP),SHM ROSARIO
244-1527,244,1527,SHOEMART INC (FORMERLY LTBG MGMT CORP),CM JARO
244-1600,244,1600,SHOEMART INC (FORMERLY LTBG MGMT CORP),SMC LAPULAPU
244-1602,244,1602,SHOEMART INC (FORMERLY LTBG MGMT CORP),SMC SANGANDAAN
244-1659,244,1659,SHOEMART INC (FORMERLY LTBG MGMT CORP),WM STA. ROSA
244-1745,244,1745,SHOEMART INC (FORMERLY LTBG MGMT CORP),WM CABANATUAN
244-1815,244,1815,SHOEMART INC (FORMERLY LTBG MGMT CORP),AM TAGAYTAY
244-1817,244,1817,SHOEMART INC (FORMERLY LTBG MGMT CORP),CM KALIBO
244-1819,244,1819,SHOEMART INC (FORMERLY LTBG MGMT CORP),CM TIAONG
244-1980,244,1980,SHOEMART INC (FORMERLY LTBG MGMT CORP),CM BORACAY
244-1989,244,1989,SHOEMART INC (FORMERLY LTBG MGMT CORP),CM MANDALAGAN
244-2003,244,2003,SHOEMART INC (FORMERLY LTBG MGMT CORP),CM TAGUM
244-2024,244,2024,SHOEMART INC (FORMERLY LTBG MGMT CORP),CM KABANKALAN
244-2026,244,2026,SHOEMART INC (FORMERLY LTBG MGMT CORP),CM VICTORIAS
244-2068,244,2068,SHOEMART INC (FORMERLY LTBG MGMT CORP),PM SORSOGON
244-2126,244,2126,SHOEMART INC (FORMERLY LTBG MGMT CORP),WM BALAYAN
244-2127,244,2127,SHOEMART INC (FORMERLY LTBG MGMT CORP),WM TALAVERA
244-2128,244,2128,SHOEMART INC (FORMERLY LTBG MGMT CORP),AM LEGASPI
244-2260,244,2260,SHOEMART INC (FORMERLY LTBG MGMT CORP),SMC LEMERY
244-2270,244,2270,SHOEMART INC (FORMERLY LTBG MGMT CORP),SMC TUGUEGARAO
244-2353,244,2353,SHOEMART INC (FORMERLY LTBG MGMT CORP),CM PASSI
244-2355,244,2355,SHOEMART INC (FORMERLY LTBG MGMT CORP),CM DANAO
244-2358,244,2358,SHOEMART INC (FORMERLY LTBG MGMT CORP),CM KORONADAL
244-2360,244,2360,SHOEMART INC (FORMERLY LTBG MGMT CORP),CM STA. ROSA
244-2362,244,2362,SHOEMART INC (FORMERLY LTBG MGMT CORP),PM ARINGAY
244-2364,244,2364,SHOEMART INC (FORMERLY LTBG MGMT CORP),PM GERONA
244-2414,244,2414,SHOEMART INC (FORMERLY LTBG MGMT CORP),SMC PULILAN
244-2415,244,2415,SHOEMART INC (FORMERLY LTBG MGMT CORP),SMC ORMOC
244-2458,244,2458,SHOEMART INC (FORMERLY LTBG MGMT CORP),WM CONCEPCION
244-2526,244,2526,SHOEMART INC (FORMERLY LTBG MGMT CORP),WM NASUGBU
250-0033,250,0033,UPTREND FASHION DESIGN CORP,CEBU (UPTREND)
250-0454,250,0454,UPTREND FASHION DESIGN CORP,CEBU PARKMALL
250-1049,250,1049,UPTREND FASHION DESIGN CORP,CEBU SEASIDE
250-1121,250,1121,UPTREND FASHION DESIGN CORP,CONSO SURPLUS
250-1327,250,1327,UPTREND,TACLOBAN SURPLUS
250-3370,250,3370,UPTREND,UPTREND AYALA MALL BLOC
290-0352,290,0352,MY SHOPPINGLANE CEBU CORP.,SM CONSOLACION
290-1663,290,1663,MY SHOPPINGLANE CEBU CORP.,SM SRP CEBU
292-1063,292,1063,MINDANAO SHOPPERS DAILY DESTINATION CORP,SM LANANG
292-1090,292,1090,MINDANAO SHOPPERS DAILY DESTINATION CORP,SM GEN. SANTOS
332-2203,332,2203,"MASTER SHOPPERS VENUE, INC",SM CDO DOWNTOWN PREMIER
332-2554,332,2554,"MASTER SHOPPERS VENUE, INC",SM ROXAS
332-3574,332,3574,"MASTER SHOPPERS VENUE, INC",SM GRAND CENTRAL
332-3752,332,3752,"MASTER SHOPPERS VENUE, INC",SM SORSOGON
334-2267,334,2267,"MAIN SHOPPING PRINCESS PHILS., INC.",SM PUERTO PRINCESA
334-2553,334,2553,MAIN SHOPPING PRINCESS PHILIPPINES INC.,SM TELABASTAGAN
334-3066,334,3066,MAIN SHOPPING PRINCESS PHILIPPINES INC.,SM OLONGAPO CENTRAL
335-2268,335,2268,MIDDLE STORE UNITED INC.,SM URDANETA
335-3065,335,3065,"MIDDLE STORE UNITED, INC.",SM ESTANCIA PASIG
335-4100,335,4100,"MIDDLE STORE UNITED, INC.",SM TANZA
369-3067,369,3067,MINDPRO SHOPPING ZAMBOANGA INC.,SM MINDPRO ZAMBOANGA
